"Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK"
"49,Mariano Troilo,ar ARG,DF,Parma,22-281,2003,14,11,995,11.1,1,0,1,1,0,0,7,2,0.09,0.00,0.09,0.09,0.09"
"50,Yael Trepy,,FW,Cagliari,,,7,0,88,1.0,1,0,1,1,0,0,0,0,1.02,0.00,1.02,1.02,1.02"
"51,Mattéo Tramoni,fr FRA,""MF,FW"",Pisa,26-069,2000,24,18,""1,368"",15.2,2,2,4,1,1,1,3,0,0.13,0.13,0.26,0.07,0.20"
"52,Idrissa Touré,de GER,MF,Pisa,27-335,1998,25,23,""1,988"",22.1,1,0,1,1,0,0,3,1,0.05,0.00,0.05,0.05,0.05"
"53,Fikayo Tomori,eng ENG,DF,Milan,28-101,1997,27,25,""2,135"",23.7,0,2,2,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08"
"54,Marcus Thuram,fr FRA,FW,Inter,28-236,1997,23,18,""1,47"",16.3,7,3,10,7,0,0,2,0,0.43,0.18,0.61,0.43,0.61"
"55,Khéphren Thuram,fr FRA,MF,Juventus,25-004,2001,28,25,""2,031"",22.6,2,2,4,2,0,0,0,0,0.09,0.09,0.18,0.09,0.18"
"56,Kristian Thorstvedt,no NOR,MF,Sassuolo,27-017,1999,24,19,""1,74"",19.3,3,3,6,3,0,0,6,0,0.16,0.16,0.31,0.16,0.31"
"57,Morten Thorsby,no NOR,MF,Genoa,29-329,1996,13,8,731,8.1,2,1,3,2,0,0,2,0,0.25,0.12,0.37,0.25,0.37"
"58,Morten Thorsby,no NOR,MF,Cremonese,29-329,1996,7,6,478,5.3,1,0,1,1,0,0,1,0,0.19,0.00,0.19,0.19,0.19"
"59,Pietro Terracciano,it ITA,GK,Milan,36-022,1990,2,1,125,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00"
"60,Filippo Terracciano,it ITA,DF,Cremonese,23-050,2003,28,25,""2,317"",25.7,2,0,2,2,0,0,5,0,0.08,0.00,0.08,0.08,0.08"
"61,Kenneth Taylor,nl NED,MF,Lazio,23-318,2002,11,11,960,10.7,3,0,3,3,0,0,3,0,0.28,0.00,0.28,0.28,0.28"
"62,Nuno Tavares,pt POR,DF,Lazio,26-063,2000,17,12,""1,016"",11.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00"
"63,Adrien Tameze,cm CMR,DF,Torino,32-054,1994,22,12,""1,111"",12.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00"
"64,Mile Svilar,rs SRB,GK,Roma,26-215,1999,30,30,""2,7"",30.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00"
"65,Zion Suzuki,jp JPN,GK,Parma,23-221,2002,13,13,""1,17"",13.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00"
"66,Tomáš Suslov,sk SVK,""FW,MF"",Hellas Verona,23-296,2002,5,0,98,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00"
"67,Kamaldeen Sulemana,gh GHA,MF,Atalanta,24-043,2002,22,8,893,9.9,2,1,3,2,0,0,3,0,0.20,0.10,0.30,0.20,0.30"
"68,Ibrahim Sulemana,gh GHA,MF,Cagliari,22-312,2003,9,6,620,6.9,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15"
"69,Ibrahim Sulemana,gh GHA,MF,Bologna,22-312,2003,3,0,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00"
"70,Petar Sucic,hr CRO,MF,Inter,22-156,2003,27,16,""1,295"",14.4,1,2,3,1,0,0,4,0,0.07,0.14,0.21,0.07,0.21"
"71,Nikola Štuli?,rs SRB,FW,Lecce,24-203,2001,28,18,""1,523"",16.9,3,0,3,2,1,1,1,0,0.18,0.00,0.18,0.12,0.12"
"72,Gabriel Strefezza,br BRA,FW,Parma,28-346,1997,7,6,542,6.0,0,1,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17"
"73,Filip Stojilkovi?,ch SUI,""FW,MF"",Pisa,26-085,2000,7,3,307,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00"
"74,Calvin Stengs,nl NED,""FW,MF"",Pisa,27-102,1998,4,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00"
"75,Nicolae Stanciu,ro ROU,MF,Genoa,32-327,1993,4,2,180,2.0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00"
"76,Leonardo Spinazzola,it ITA,""MF,DF"",Napoli,33-005,1993,26,18,""1,58"",17.6,3,3,6,3,0,0,2,0,0.17,0.17,0.34,0.17,0.34"
"77,Matìas Soulé,ar ARG,""MF,FW"",Roma,22-349,2003,25,21,""1,675"",18.6,6,4,10,6,0,0,1,0,0.32,0.21,0.54,0.32,0.54"
"78,Riccardo Sottil,it ITA,""FW,MF"",Lecce,26-300,1999,21,13,""1,066"",11.8,1,2,3,1,0,0,1,0,0.08,0.17,0.25,0.08,0.25"
