2026-04-03 22:37:01,664 [INFO] RPA: Avvio sessione per la lega 'serie_a'
2026-04-03 22:39:36,471 [INFO]   [BACKEND] OK: {'status': 'ok', 'player': 'Abdou Harroui', 'sections_saved': ['profile', 'attributes(8)', 'competitions(3: 3 stats, 2 heatmap)', 'matches(30)', 'career(7)'], 'sofascore_id': 915812}
2026-04-03 22:39:36,551 [INFO]   [FALLBACK] Salvato: sofascore_fallback/Abdou_Harroui_915812.json
2026-04-03 22:39:36,551 [INFO] ✓ Abdou Harroui — competizioni=3 stats=223 heatmap=830 attributi=8 partite=30 trasferimenti=7
2026-04-03 22:39:41,553 [INFO] [3/630] Abdoulaye N'Diaye
2026-04-03 22:39:41,554 [INFO] ── Abdoulaye N'Diaye (Parma Calcio 1913) ──
2026-04-03 22:39:41,554 [INFO]   sofascore_id=1010079 league=serie_a
2026-04-03 22:39:41,869 [INFO]   [PW] Step 1: acquisizione cookie (homepage)...
2026-04-03 22:39:44,771 [INFO]   [📡] Token intercettato: 24a7a8
2026-04-03 22:39:45,451 [INFO]   [PW] Step 2: profilo + slug player 1010079...
2026-04-03 22:39:59,137 [INFO]   [PW] Profilo OK (14 campi) | slug=abdoulaye-ndiaye
2026-04-03 22:39:59,639 [INFO]   [PW] Step 3: navigazione profilo: https://www.sofascore.com/player/abdoulaye-ndiaye/1010079
2026-04-03 22:40:03,587 [INFO]   [📡] Attributi intercettati: /www.sofascore.com/api/v1/player/1010079/attribute-overviews
2026-04-03 22:40:03,770 [INFO]   [PW] ✅ Attributi intercettati in anticipo — proseguo
2026-04-03 22:40:03,772 [INFO]   [PW] Step 4: navigazione Statistics (heatmap)...
2026-04-03 22:40:21,141 [INFO]   [PW] ⏱ Timeout heatmap passiva — userò JS fetch per competizione
2026-04-03 22:40:21,142 [INFO]   [PW] Step 5: token=✅ 24a7a8
2026-04-03 22:40:21,143 [INFO]   [PW] ✅ attribute-overviews da captured
2026-04-03 22:40:21,143 [INFO]   [PW] ✅ Attributi: 0 valori
2026-04-03 22:40:21,144 [INFO]   [PW-JS] Forcing fetch: transfer-history
2026-04-03 22:40:21,339 [WARNING]   [PW-JS] Fallito: transfer-history
2026-04-03 22:40:21,668 [INFO]   [PW] ✅ national-team-statistics da captured
2026-04-03 22:40:21,669 [INFO]   [PW] Attributi da captured: 0 valori
2026-04-03 22:40:21,670 [INFO]   [PW] Nazionale: 0
2026-04-03 22:40:21,671 [INFO]   [PW] Partite: 0
2026-04-03 22:40:21,672 [INFO]   [PW] Trasferimenti: 0
2026-04-03 22:40:21,673 [INFO]   Competizioni trovate nelle partite: 0
2026-04-03 22:40:21,675 [WARNING]   [PW] Nessuna partita — fallback: serie_a
2026-04-03 22:40:21,676 [INFO]   [PW] Step 7: 1 competizioni...
2026-04-03 22:40:22,678 [INFO]   [PW] → Serie A 24/25 (tid=23, sid=63515)
2026-04-03 22:40:22,887 [WARNING]   [PW-JS] HTTP 404: 79/unique-tournament/23/season/63515/statistics/overall
2026-04-03 22:40:22,887 [INFO]       Navigazione heatmap: tid=23 sid=63515
2026-04-03 22:40:30,706 [INFO]       ⏱ Timeout heatmap — provo JS fetch
2026-04-03 22:40:30,706 [INFO]       Heatmap JS fetch: /unique-tournament/23/season/63515/heatmap/overall
2026-04-03 22:40:30,901 [WARNING]   [PW-JS] HTTP 404: 10079/unique-tournament/23/season/63515/heatmap/overall
2026-04-03 22:40:30,904 [WARNING]       🚫 Heatmap fetch fallita (tid=23 sid=63515)
2026-04-03 22:40:30,905 [WARNING]       🚫 Heatmap non disponibile (tid=23 sid=63515)
2026-04-03 22:40:31,667 [INFO]   [PW] Fine: competizioni=1 stats=0 heatmap=0 attributi=0 partite=0 trasferimenti=0
2026-04-03 22:40:31,668 [INFO]   [MAP] Serie A 24/25: 0 stats, 0 heatmap pts
2026-04-03 22:40:31,669 [INFO]   [BACKEND] POST /ingest/sofascore/ocr
2026-04-03 22:40:31,723 [INFO]   [BACKEND] OK: {'status': 'ok', 'player': "Abdoulaye N'Diaye", 'sections_saved': ['profile', 'competitions(1: 1 stats, 0 heatmap)'], 'sofascore_id': 1010079}
2026-04-03 22:40:31,763 [INFO]   [FALLBACK] Salvato: sofascore_fallback/Abdoulaye_N_Diaye_1010079.json
2026-04-03 22:40:31,765 [INFO] ✓ Abdoulaye N'Diaye — competizioni=1 stats=0 heatmap=0 attributi=0 partite=0 trasferimenti=0
2026-04-03 22:40:36,768 [INFO] [4/630] Adam Buksa
2026-04-03 22:40:37,057 [INFO] ── Adam Buksa (Udinese Calcio) ──
2026-04-03 22:40:37,432 [INFO]   sofascore_id=1138856 league=serie_a
2026-04-03 22:40:40,313 [INFO]   [PW] Step 1: acquisizione cookie (homepage)...
2026-04-03 22:40:44,023 [INFO]   [📡] Token intercettato: 24a7a8
2026-04-03 22:40:44,632 [INFO]   [PW] Step 2: profilo + slug player 1138856...
2026-04-03 22:40:52,031 [INFO]   [PW] Profilo OK (24 campi) | slug=adam-buksa
2026-04-03 22:40:52,533 [INFO]   [PW] Step 3: navigazione profilo: https://www.sofascore.com/player/adam-buksa/1138856
2026-04-03 22:40:56,140 [INFO]   [📡] Attributi intercettati: /www.sofascore.com/api/v1/player/1138856/attribute-overviews
2026-04-03 22:40:56,159 [INFO]   [📡] Attributi intercettati: /www.sofascore.com/api/v1/player/1138856/attribute-overviews
2026-04-03 22:40:56,306 [INFO]   [PW] ✅ Attributi intercettati in anticipo — proseguo
2026-04-03 22:40:56,307 [INFO]   [PW] Step 4: navigazione Statistics (heatmap)...
2026-04-03 22:41:09,475 [INFO]   [PW] ⏱ Timeout heatmap passiva — userò JS fetch per competizione
2026-04-03 22:41:09,475 [INFO]   [PW] Step 5: token=✅ 24a7a8
2026-04-03 22:41:09,476 [INFO]   [PW] ✅ attribute-overviews da captured
2026-04-03 22:41:09,476 [INFO]   [PW] ✅ Attributi: 8 valori
2026-04-03 22:41:09,477 [INFO]   [PW-JS] Forcing fetch: transfer-history
2026-04-03 22:41:09,657 [INFO]   [PW-JS] OK: transfer-history
2026-04-03 22:41:09,975 [INFO]   [PW] ✅ national-team-statistics da captured
2026-04-03 22:41:09,976 [INFO]   [PW] Partite: 30
2026-04-03 22:41:09,977 [INFO]   [PW] Nazionale: 1
2026-04-03 22:41:09,977 [INFO]   [PW] Trasferimenti: 11
2026-04-03 22:41:09,978 [INFO]   [PW] Trasferimenti: 11
2026-04-03 22:41:09,978 [INFO]   Competizioni trovate nelle partite: 5
2026-04-03 22:41:09,978 [INFO]     → Danish Superliga 25/26 (tid=39, sid=76491)
2026-04-03 22:41:09,979 [INFO]     → UEFA Europa League 25/26 (tid=679, sid=76984)
2026-04-03 22:41:09,979 [INFO]     → Serie A 25/26 (tid=23, sid=76457)
2026-04-03 22:41:09,980 [INFO]     → World Cup Qual. UEFA 2026 (tid=11, sid=69427)
2026-04-03 22:41:09,980 [INFO]     → Coppa Italia 25/26 (tid=328, sid=77308)
2026-04-03 22:41:09,981 [INFO]   [PW] Step 7: 5 competizioni...
2026-04-03 22:41:10,982 [INFO]   [PW] → Danish Superliga 25/26 (tid=39, sid=76491)
2026-04-03 22:41:11,206 [INFO]       ✅ Stats: 112 campi
2026-04-03 22:41:11,206 [INFO]       Navigazione heatmap: tid=39 sid=76491
2026-04-03 22:41:18,927 [INFO]       ⏱ Timeout heatmap — provo JS fetch
2026-04-03 22:41:18,927 [INFO]       Heatmap JS fetch: /unique-tournament/39/season/76491/heatmap/overall
2026-04-03 22:41:19,189 [INFO]       ✅ Heatmap JS: 103 punti
2026-04-03 22:41:19,190 [INFO]       ✅ Heatmap finale: 103 punti
2026-04-03 22:41:19,846 [INFO]   [PW] → UEFA Europa League 25/26 (tid=679, sid=76984)
2026-04-03 22:41:19,997 [WARNING]   [PW-JS] HTTP 404: 6/unique-tournament/679/season/76984/statistics/overall
2026-04-03 22:41:19,997 [INFO]       Navigazione heatmap: tid=679 sid=76984
2026-04-03 22:41:28,195 [INFO]       ⏱ Timeout heatmap — provo JS fetch
2026-04-03 22:41:28,196 [INFO]       Heatmap JS fetch: unique-tournament/679/season/76984/heatmap/overall
2026-04-03 22:41:28,305 [WARNING]   [PW-JS] HTTP 404: 8856/unique-tournament/679/season/76984/heatmap/overall
2026-04-03 22:41:28,306 [WARNING]       🚫 Heatmap fetch fallita (tid=679 sid=76984)
2026-04-03 22:41:28,306 [WARNING]       🚫 Heatmap non disponibile (tid=679 sid=76984)
2026-04-03 22:41:28,695 [INFO]   [PW] → Serie A 25/26 (tid=23, sid=76457)
2026-04-03 22:41:28,831 [INFO]       ✅ Stats: 112 campi
2026-04-03 22:41:28,833 [INFO]       Navigazione heatmap: tid=23 sid=76457
2026-04-03 22:41:36,723 [INFO]       ⏱ Timeout heatmap — provo JS fetch
2026-04-03 22:41:36,724 [INFO]       Heatmap JS fetch: /unique-tournament/23/season/76457/heatmap/overall
2026-04-03 22:41:36,974 [INFO]       ✅ Heatmap JS: 309 punti
2026-04-03 22:41:36,975 [INFO]       ✅ Heatmap finale: 309 punti
2026-04-03 22:41:37,394 [INFO]   [PW] → World Cup Qual. UEFA 2026 (tid=11, sid=69427)
2026-04-03 22:41:37,647 [INFO]       ✅ Stats: 110 campi
2026-04-03 22:41:37,648 [INFO]       Navigazione heatmap: tid=11 sid=69427
2026-04-03 22:41:45,342 [INFO]       ⏱ Timeout heatmap — provo JS fetch
2026-04-03 22:41:45,343 [INFO]       Heatmap JS fetch: /unique-tournament/11/season/69427/heatmap/overall
2026-04-03 22:41:45,574 [INFO]       ✅ Heatmap JS: 32 punti
2026-04-03 22:41:45,578 [INFO]       ✅ Heatmap finale: 32 punti
2026-04-03 22:41:46,277 [INFO]   [PW] → Coppa Italia 25/26 (tid=328, sid=77308)
2026-04-03 22:41:46,516 [INFO]       ✅ Stats: 110 campi
2026-04-03 22:41:46,517 [INFO]       Navigazione heatmap: tid=328 sid=77308
2026-04-03 22:41:54,540 [INFO]       ⏱ Timeout heatmap — provo JS fetch
2026-04-03 22:41:54,588 [INFO]       Heatmap JS fetch: unique-tournament/328/season/77308/heatmap/overall
2026-04-03 22:41:55,464 [INFO]       ✅ Heatmap JS: 48 punti
2026-04-03 22:41:55,473 [INFO]       ✅ Heatmap finale: 48 punti
2026-04-03 22:41:56,302 [INFO]   [PW] Fine: competizioni=5 stats=444 heatmap=492 attributi=8 partite=30 trasferimenti=11
2026-04-03 22:41:56,314 [INFO]   [MAP] Danish Superliga 25/26: 107 stats, 103 heatmap pts
2026-04-03 22:41:56,321 [INFO]   [MAP] UEFA Europa League 25/26: 0 stats, 0 heatmap pts
2026-04-03 22:41:56,323 [INFO]   [MAP] Serie A 25/26: 107 stats, 309 heatmap pts
2026-04-03 22:41:56,326 [INFO]   [MAP] World Cup Qual. UEFA 2026: 105 stats, 32 heatmap pts
2026-04-03 22:41:56,331 [INFO]   [MAP] Coppa Italia 25/26: 105 stats, 48 heatmap pts
2026-04-03 22:41:56,333 [INFO]   [BACKEND] POST /ingest/sofascore/ocr
2026-04-03 22:41:56,585 [INFO]   [BACKEND] OK: {'status': 'ok', 'player': 'Adam Buksa', 'sections_saved': ['profile', 'attributes(8)', 'competitions(5: 5 stats, 4 heatmap)', 'matches(30)', 'career(11)', 'national(1)'], 'sofascore_id': 1138856}
2026-04-03 22:41:56,764 [INFO]   [FALLBACK] Salvato: sofascore_fallback/Adam_Buksa_1138856.json
2026-04-03 22:41:56,765 [INFO] ✓ Adam Buksa — competizioni=5 stats=444 heatmap=492 attributi=8 partite=30 trasferimenti=11
2026-04-03 22:42:01,770 [INFO] [5/630] Adam Marušić
